DATE,BU12,Text,T1,T2,L3,T3,T4,T5,L2,T6,T7,T8,L1,T9,T10,T11,BU11,T12,T13,V3 (in 3),V6 (out 3),V2 (in 2),V5 (out 2),V1 (in L1),V4 (out 1)
25-oct-23 12:00:00,20.7,9.77,417.79,154.73,190.0,540.99,651.0,754.22,175.0,441.56,497.43,596.13,165.0,379.57,521.0,618.0,22.43,820.72,218.39,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:00:10,20.7,9.77,417.33,154.61,190.0,540.84,651.0,754.01,175.0,440.73,496.86,595.83,165.0,380.14,522.0,618.0,22.2,820.82,218.53,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:00:20,20.7,9.77,417.04,154.62,191.0,540.39,650.0,753.47,175.0,439.77,496.24,595.27,165.0,380.73,523.0,618.0,18.6,820.93,218.48,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:00:30,20.7,9.77,416.83,154.7,191.0,539.9,649.0,752.9,174.0,439.2,495.75,594.7,165.0,381.3,524.0,619.0,14.7,821.0,218.41,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:00:40,20.7,9.77,416.71,154.77,191.0,539.03,647.0,752.2,174.0,438.55,495.14,594.17,165.0,382.33,526.0,620.0,13.7,821.22,218.17,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:00:50,20.7,9.77,416.57,154.68,191.0,538.2,646.0,751.43,174.0,437.86,494.73,593.67,165.0,383.37,527.0,621.0,13.25,821.13,217.88,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:01:00,20.7,9.77,416.21,154.8,190.0,537.12,646.0,750.51,174.0,437.4,494.31,593.2,165.0,384.38,528.0,622.0,12.7,821.04,217.47,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:01:10,20.7,9.77,415.87,154.71,190.0,535.3,644.0,749.48,173.0,436.64,493.77,592.84,166.0,385.48,530.0,623.0,11.8,820.84,217.14,1.0,0.0,0.0,0.0,0.0,1.0
25-oct-23 12:01:20,20.7,9.77,415.55,154.63,190.0,533.71,642.0,748.31,173.0,436.17,493.41,592.46,166.0,386.66,531.0,625.0,12.4,820.59,216.87,1.0,0.0,0.0,1.0,0.0,0.0
25-oct-23 12:01:30,20.7,9.77,415.21,154.77,189.0,532.12,640.0,747.03,173.0,436.18,493.69,592.5,166.0,387.68,532.0,626.0,10.9,820.41,216.51,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:01:40,20.7,9.77,415.02,154.72,189.0,530.84,639.0,746.04,173.0,436.39,494.43,592.76,167.0,388.36,533.0,627.0,11.5,820.12,216.14,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:01:50,20.7,9.77,414.76,154.78,189.0,529.76,638.0,745.08,173.0,436.84,495.24,593.04,167.0,388.76,533.0,627.0,10.95,819.56,215.58,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:00,20.7,9.77,414.58,154.7,188.0,528.92,638.0,744.34,173.0,437.46,496.24,593.56,167.0,389.08,533.0,628.0,10.5,818.82,215.02,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:10,20.7,9.77,414.43,154.68,188.0,528.01,637.0,743.71,173.0,438.29,497.69,594.15,167.0,389.08,533.0,628.0,11.15,817.51,214.55,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:20,20.7,9.77,414.15,154.62,187.0,527.19,636.0,743.19,173.0,439.22,499.13,594.91,167.0,388.86,533.0,628.0,12.1,816.49,214.1,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:30,20.7,9.77,414.01,154.77,187.0,526.48,636.0,742.55,173.0,440.45,500.55,595.82,167.0,388.72,532.0,628.0,12.2,815.35,213.68,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:40,20.7,9.77,413.82,154.75,186.0,525.95,635.0,742.25,173.0,441.76,502.12,596.61,167.0,388.25,531.0,628.0,13.8,814.29,213.17,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:02:50,20.7,9.77,413.67,154.76,186.0,525.29,635.0,741.57,173.0,443.08,503.9,597.65,167.0,387.77,530.0,627.0,15.8,813.25,212.88,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:03:00,20.7,9.77,413.55,154.78,186.0,524.91,635.0,741.25,174.0,444.68,505.68,598.69,167.0,387.21,530.0,626.0,16.86,812.11,212.57,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:03:10,20.7,9.77,413.43,154.74,186.0,524.37,634.0,740.84,174.0,446.23,507.49,599.89,167.0,386.54,528.0,625.0,18.1,811.34,212.36,0.0,0.0,0.0,1.0,1.0,0.0
25-oct-23 12:03:20,20.7,9.77,413.23,154.72,186.0,524.02,634.0,740.66,174.0,447.77,509.2,601.13,167.0,385.73,527.0,625.0,20.9,810.33,212.19,0.0,1.0,0.0,0.0,1.0,0.0
25-oct-23 12:03:30,20.7,9.77,412.93,154.7,185.0,524.3,634.0,740.9,175.0,449.1,510.5,602.2,167.0,384.8,526.0,624.0,23.4,809.5,212.18,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:03:40,20.7,9.77,412.81,154.78,185.0,524.86,635.0,741.48,175.0,450.06,511.11,603.16,167.0,383.94,525.0,623.0,25.07,809.24,212.05,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:03:50,20.7,9.77,412.67,154.72,185.0,525.42,636.0,742.15,175.0,450.75,511.18,603.82,167.0,383.18,524.0,622.0,26.03,809.65,212.08,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:04:00,20.7,9.77,412.59,154.81,185.0,526.29,637.0,743.18,175.0,450.99,510.9,604.09,167.0,382.51,523.0,621.0,25.7,810.49,212.15,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:04:10,20.7,9.77,412.56,154.76,185.0,527.33,638.0,744.13,175.0,450.92,510.24,604.13,167.0,382.04,522.0,621.0,26.2,811.63,212.45,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:04:20,20.7,9.77,412.52,154.76,185.0,528.38,640.0,745.26,175.0,450.67,509.34,603.94,167.0,381.57,522.0,620.0,25.47,812.78,212.71,0.0,1.0,1.0,0.0,0.0,0.0
25-oct-23 12:04:30,20.7,9.77,412.53,154.75,186.0,529.99,641.0,746.39,175.0,450.21,508.51,603.51,167.0,381.01,522.0,620.0,26.06,813.98,213.09,0.0,1.0,1.0,0.0,0.0,0.0
